Price,Name,Brand,Size,Packaging,Female,Male,Homo,Perufme,EdP,EdT,EdC,Floral,Fruity,Food,Amber,Woody,Leather,Aquatic,Green,Other,Fresh/Energetic,Warm,Classic,Sweet,Individual,Limitation,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Exceptional Because You Are Men,Exceptional Parfums,3.4,0.1,,1,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Exceptional Because You Are Women,Exceptional Parfums,3.4,0.1,1,,,,1,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Untold Absolu,Elizabeth Arden,1.7,0.5,1,,,,1,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,Untold Absolu,Elizabeth Arden,3.3,0.5,1,,,,1,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Provocative Interlude,Elizabeth Arden,1.7,0.35,1,,,,1,,,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Always Red Femme,Elizabeth Arden,1.7,0.37,1,,,,,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Always Red Femme,Elizabeth Arden,3.3,0.37,1,,,,,1,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Green Tea,Elizabeth Arden,1.7,0.2,1,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Green Tea,Elizabeth Arden,3.3,0.2,1,,,,,1,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Sunflowers,Elizabeth Arden,3.3,0.1,1,,,,,1,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,Fifth Avenue,Elizabeth Arden,2.5,0.55,1,,,,1,,,1,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Fifth Avenue,Elizabeth Arden,4.2,0.55,1,,,,1,,,1,,,,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Splendor,Elizabeth Arden,2.5,0.4,1,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,Juicy Couture Hollywood Royal,Juicy Couture,5,0.65,1,,,,,1,,1,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Couture Couture,Juicy Couture,3.4,0.8,1,,,,1,,,1,1,1,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
