Price,Name,Brand,History,Size,Packaging,Limitation,Female,Male,Homo,Perufme,EdP,EdT,EdC,Floral,Fruity,Food,Amber,Woody,Leather,Aquatic,Green,Other,Fresh/Energetic,Warm,Classic,Sweet,Individual,Support
125,DIOR HOMME EAU FOR MEN,Dior,73,5,0.35,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
127,My Burberry Eau de Parfum,Burberry,163,3.3,0.4,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
130,J'Adore,Dior,73,3.4,0.55,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
130,MISS DIOR ABSOLUTELY BLOOMING,Dior,73,3.4,0.5,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
130,Dark Amber & Ginger Lily Cologne Intense,JoMalone,25,1.7,0.3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
130,Juicy Couture Glistening Amber,Juicy Couture,24,3.4,0.9,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
130,Libre,Yves Saint Laurent,53,3,0.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
135,COCO NOIR,Chanel,119,3.4,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
140,Eau Rose Eau de Toilette,Diptqyue,58,2.5,0.2,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1
140,Wood Sage & Sea Salt Cologne,JoMalone,25,3.4,0.1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1
145,SAUVAGE,Dior,73,6.8,0.35,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
145,Yves Saint Laurent Y,Yves Saint Laurent,53,6.7,0.6,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
146,SPLENDIDA BVLGARI Jasmin Noir,BVLGARI,135,3.4,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
146,Splendida Magnolia Sensuel,BVLGARI,135,3.4,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
150,bleu de chanel,Chanel,119,3.4,0.2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
151,Eau des Merveilles Bleue ,Hermes,182,3.38,0.6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
155,allure homme sport eau extrême,Chanel,119,5,0.4,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
155,Versace Oud Noir,Versace,41,3.4,0.6,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
159,"24, Faubourg",Hermes,182,3.38,0.6,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
159,Rose Amazone,Hermes,182,3.38,0.5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
165,J'Adore,Dior,73,5,0.55,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
166,Jour d'Hermes Absolu,Hermes,182,2.87,0.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
166,Elixir des Merveilles,Hermes,182,3.38,0.6,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
170,Beyond Rose,Clinique,51,3.4,0.5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
174,Men's La Nuit de L'homme,Yves Saint Laurent,53,6.7,0.5,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
175,PIVOINE SUZHOU,Giorgio Armani,44,3.4,0.5,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
175,MAGNOLIA ROSAE,LANCOME,84,3.4,0.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
175,PIVOINES PRINTEMPS,LANCOME,84,3.4,0.7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
180,Mediterranean Honeysuckle,EsteeLauder,73,3.4,0.6,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
180,Ikat Jasmine,EsteeLauder,73,3.4,0.6,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
180,Waterlily Sun,EsteeLauder,73,3.4,0.6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
180,SAGAMORE,LANCOME,84,2.5,0.5,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
185,Caleche,Hermes,182,3.38,0.5,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
